,Unnamed: 0,ID,QuestType,verb,WhichQuestion,WhichAnswer,Group,goal,RT,N,ImageName,order,study,Value,logical,pragmatic,global,local
196,325,17263,3,know,Mod,MA,M,none,7861.0,2,six2.png,,qn,Disagree,1.0,0.0,1.0,0.0
197,326,17263,3,know,Mod,MA,M,none,7861.0,2,six1.png,,qn,Agree,1.0,0.0,1.0,0.0
198,327,17263,4,know,Mod,MF,M,none,8037.5,2,four2.png,,qn,Disagree,1.0,0.0,1.0,0.0
199,328,17263,4,know,Mod,MF,M,none,8037.5,2,four1.png,,qn,Disagree,1.0,0.0,1.0,0.0
200,329,17263,5,say,Mod,MO,M,none,4891.0,2,red1.png,,qn,Disagree,1.0,0.0,1.0,0.0
201,330,17263,5,say,Mod,MO,M,none,4891.0,2,red2.png,,qn,Disagree,1.0,0.0,1.0,0.0
202,331,17263,6,say,Mod,MS,M,none,10089.0,2,black1.png,,qn,Agree,1.0,0.0,1.0,0.0
203,332,17263,6,say,Mod,MS,M,none,10089.0,2,black2.png,,qn,Disagree,1.0,0.0,1.0,0.0
204,333,17263,7,say,Mod,MA,M,none,8259.0,2,spade2.png,,qn,Agree,1.0,0.0,1.0,0.0
205,334,17263,7,say,Mod,MA,M,none,8259.0,2,spade1.png,,qn,Disagree,1.0,0.0,1.0,0.0
206,335,17263,8,say,Mod,MF,M,none,7258.5,2,club1.png,,qn,Disagree,1.0,0.0,1.0,0.0
207,336,17263,8,say,Mod,MF,M,none,7258.5,2,club2.png,,qn,Disagree,1.0,0.0,1.0,0.0
208,337,17263,9,know,NoMod,MO,M,none,8339.5,2,diamond2.png,,qn,Disagree,1.0,0.0,1.0,0.0
209,338,17263,9,know,NoMod,MO,M,none,8339.5,2,diamond1.png,,qn,Disagree,1.0,0.0,1.0,0.0
210,339,17263,10,know,NoMod,MS,M,none,5887.5,2,hearts1.png,,qn,Disagree,1.0,0.0,1.0,0.0
