"","ID","SentType","Token","SentNumber","Group","RT","N","SubStat","Negation","CompTruth","Matrix","order","goal","study","Value","logRT"
"178","17134","T9","kiwis",9,"I",1809,1,"novice",0,1,"Babies say that",2,"none","cb","Disagree",7.50052948539529
"179","17134","T9","pigeons",9,"I",1585,1,"novice",0,1,"Babies say that",2,"none","cb","Disagree",7.36833968631138
"180","17134","T9","pigeons",9,"I",1585,1,"novice",0,1,"Babies say that",2,"none","cb","Disagree",7.36833968631138
"181","17233","T1","cobras",4,"A",1383,1,"expert",1,0,"Zoologists don't know that",2,"none","cb","Agree",7.23201033166476
"182","17233","T1","cobras",4,"A",1383,1,"expert",1,0,"Zoologists don't know that",2,"none","cb","Disagree",7.23201033166476
"183","17233","T1","ticks",4,"A",861,1,"expert",1,0,"Zoologists don't know that",2,"none","cb","Agree",6.75809450442773
"184","17233","T1","ticks",4,"A",861,1,"expert",1,0,"Zoologists don't know that",2,"none","cb","Disagree",6.75809450442773
"185","17233","T2","monkeys",2,"A",1371,1,"expert",0,0,"Zoologists know that",2,"none","cb","Disagree",7.22329567956231
"186","17233","T2","monkeys",2,"A",1371,1,"expert",0,0,"Zoologists know that",2,"none","cb","Disagree",7.22329567956231
"187","17233","T2","tunas",2,"A",2614,1,"expert",0,0,"Zoologists know that",2,"none","cb","Disagree",7.86863689418417
"188","17233","T2","tunas",2,"A",2614,1,"expert",0,0,"Zoologists know that",2,"none","cb","Disagree",7.86863689418417
"189","17233","T3","cows",3,"A",1588,1,"expert",1,1,"Zoologists don't know that",2,"none","cb","Disagree",7.37023064180708
"190","17233","T3","cows",3,"A",1588,1,"expert",1,1,"Zoologists don't know that",2,"none","cb","Disagree",7.37023064180708
"191","17233","T3","trouts",3,"A",2786,1,"expert",1,1,"Zoologists don't know that",2,"none","cb","Disagree",7.93236215433975
"192","17233","T3","trouts",3,"A",2786,1,"expert",1,1,"Zoologists don't know that",2,"none","cb","Disagree",7.93236215433975
"193","17233","T4","bears",1,"A",1225,1,"expert",0,1,"Zoologists know that",2,"none","cb","Agree",7.11069612297883
"194","17233","T4","bears",1,"A",1225,1,"expert",0,1,"Zoologists know that",2,"none","cb","Agree",7.11069612297883
"195","17233","T4","salmon",1,"A",735,1,"expert",0,1,"Zoologists know that",2,"none","cb","Agree",6.59987049921284
"196","17233","T4","salmon",1,"A",735,1,"expert",0,1,"Zoologists know that",2,"none","cb","Agree",6.59987049921284
"197","17233","T5","bees",6,"A",2621,1,"novice",1,0,"Babies don't know that",2,"none","cb","Disagree",7.87131120332341
"198","17233","T5","bees",6,"A",2621,1,"novice",1,0,"Babies don't know that",2,"none","cb","Disagree",7.87131120332341
"199","17233","T5","pythons",6,"A",2221,1,"novice",1,0,"Babies don't know that",2,"none","cb","Disagree",7.70571282389443
"200","17233","T5","pythons",6,"A",2221,1,"novice",1,0,"Babies don't know that",2,"none","cb","Disagree",7.70571282389443
"201","17233","T6","beetles",5,"A",2110,1,"novice",1,1,"Babies don't know that",2,"none","cb","Agree",7.65444322647011
"202","17233","T6","beetles",5,"A",2110,1,"novice",1,1,"Babies don't know that",2,"none","cb","Agree",7.65444322647011
"203","17233","T6","tortoises",5,"A",1663,1,"novice",1,1,"Babies don't know that",2,"none","cb","Agree",7.41637847919293
